sku,pza_cja,kg_lt,cjs_pllt,pzs,cjs,pallets
GIFT6035727,6,0.15,45,6.666666667,1.111111111,0.024691358
GIFT78623,1,1000.0,1000,0.001,0.001,1e-06
GIFT79485824,12,1.0,65,1.0,0.083333333,0.001282051
GIFT79642814,1,0.3,65,3.333333333,3.333333333,0.051282051
GIFT79701705,6,0.3,65,3.333333333,0.555555556,0.008547009
GIFT80863470,20,0.25,65,4.0,0.2,0.003076923
GIFT81747334,20,0.3,45,3.333333333,0.166666667,0.003703704
H046,15,0.97,63,1.030927835,0.068728522,0.001090929
H065,1,20.0,32,0.05,0.05,0.0015625
H066,1,200.0,800,0.005,0.005,6.25e-06
H098,15,0.95,63,1.052631579,0.070175439,0.001113896
H101,15,0.95,63,1.052631579,0.070175439,0.001113896
H107,2,10.0,52,0.1,0.05,0.000961538
H126SV,4,5.0,44,0.2,0.05,0.001136364
H160SV,2,10.0,52,0.1,0.05,0.000961538
H161SV,4,5.0,44,0.2,0.05,0.001136364
H239,15,1.0,63,1.0,0.066666667,0.001058201
H305,4,5.0,44,0.2,0.05,0.001136364
H319,15,0.97,63,1.030927835,0.068728522,0.001090929
H320,4,5.0,44,0.2,0.05,0.001136364
H321,2,10.0,52,0.1,0.05,0.000961538
H328,1,20.0,32,0.05,0.05,0.0015625
HOL001,15,1.0,63,1.0,0.066666667,0.001058201
HOL006,15,1.0,63,1.0,0.066666667,0.001058201
HOL007,15,1.0,63,1.0,0.066666667,0.001058201
HOL008,15,1.0,63,1.0,0.066666667,0.001058201
L181,15,1.0,63,1.0,0.066666667,0.001058201
L212,21,0.25,143,4.0,0.19047619,0.001332001
L260,12,1.0,77,1.0,0.083333333,0.001082251
L286US,1,10.0,50,0.1,0.1,0.002
L288US,15,1.0,45,1.0,0.066666667,0.001481481
L301,48,0.1,91,10.0,0.208333333,0.002289377
L307,21,0.25,143,4.0,0.19047619,0.001332001
L391SV,15,0.95,45,1.052631579,0.070175439,0.001559454
L392SV,20,0.45,77,2.222222222,0.111111111,0.001443001
L393SV,48,0.24,66,4.166666667,0.086805556,0.001315236
L412,12,0.95,77,1.052631579,0.087719298,0.001139212
LABR001,12,1.0,77,1.0,0.083333333,0.001082251
LABR002,12,0.95,77,1.052631579,0.087719298,0.001139212
LABR003,15,0.6,63,1.666666667,0.111111111,0.001763668
MN435505KME,1,5.0,100,0.2,0.2,0.002
NANSA012,12,0.94,77,1.063829787,0.088652482,0.001151331
NANSA013,12,1.0,77,1.0,0.083333333,0.001082251
NANSA018,2,10.0,52,0.1,0.05,0.000961538
NANSA020,12,0.94,77,1.063829787,0.088652482,0.001151331
NANSA021,1,20.0,32,0.05,0.05,0.0015625
NANSA022,12,0.94,77,1.063829787,0.088652482,0.001151331
NANSA023,12,0.94,77,1.063829787,0.088652482,0.001151331
NANSA024,12,0.96,77,1.041666667,0.086805556,0.001127345
NEV001,12,0.95,77,1.052631579,0.087719298,0.001139212
NEV002,12,0.95,77,1.052631579,0.087719298,0.001139212
NEV003,12,1.0,77,1.0,0.083333333,0.001082251
NEV004,12,1.0,77,1.0,0.083333333,0.001082251
NEV005,12,1.0,77,1.0,0.083333333,0.001082251
NOVAGRO001,15,0.95,63,1.052631579,0.070175439,0.001113896
NOVAGRO002,4,5.0,44,0.2,0.05,0.001136364
NOVAGRO003,15,1.0,63,1.0,0.066666667,0.001058201
NOVAGRO004,15,0.9,63,1.111111111,0.074074074,0.001175779
NOVAGRO005,15,0.9,63,1.111111111,0.074074074,0.001175779
